"Bairro";"Nome";"Endereço";"Horario";"Telefone";"Empresa Coletora";"Latitude";"Longitude"
"Cavalhada";"Escola Municipal Ensino Fundam. Neusa Goulart Brizola";"Rua Monsenhor Rubem Neis, s/n  ";"2º-6º:7:30-12:00/13:15-17:45";"3246-9999";"Faros Coleto";"-30.027700272151";"-51.228729726626"
"Cavalhada";"EMEI Bairro Cavalhada";"Rua Canela, 180  ";"2ª6ª - 7:30-18:30h";"3241-3604";"Ecológica";"-30.0992486877";"-51.228344273591"
"Cavalhada";"Capatazia Cavalhada";"Av. Otto Niemeyer, 3206  ";"2º-6º: 8:00-18:00 sab: 8:00-12:00";"3245-5753";"Faros Coleto";"-30.106007628363";"-51.242743410369"
"Centro";"I.Federal";"Rua Coronel Vicente, 281";"2ª-6ª: 7:30 - 22:30";"3930-6010";"Ecológica";"-30.0265644373";"-51.220984429138"
"Centro";"Capatazia do Gasômetro";"Av. João Goulart, 158  ";"2º-6º: 8:00-18:00 sab: 8:00-12:00";"3224-9724";"Ecológica";"-30.035478195558";"-51.24105136429"
"Centro";"Capatazia da Conceição - Sc Centro";"Rua Alberto Bins,   elevada Conceição";"2º-6º: 8:00-18:00 sab: 8:00-12:00";"3226-1950";"Faros Coleto";"-30.027701989065";"-51.228733341136"
"Centro";"EMEF Porto Alegre";"Rua Washington Luis, 203  ";"2ª6ª - 8:00-17:00 h";"3227-4429";"Faros Coleto";"-30.036333266939";"-51.238638207745"
"Centro";"Fundação Universidade Federal de Ciências de Saúde de Porto Alegre ";"Rua Sarmento Leite, 245";"2ª6ª - das 8h às 12h e das 13h às 17h";"3303-8769";"Ecológica";"-30.031916644219";"-51.22034051621"
"Centro";"DEP - Fábrica de Pré-moldados";"Av. Loureiro da Silva nº 250  ";"2ª 6ª: 8:00-18:00";32892284;"Ecológica";"-30.037245156722";"-51.237005375163"
"Cidade Baixa";"DEP - Lima e Silva";"Rua Gen. Lima e Silva nº 972";"2ª 6ª - 8:30 às 18:30";"3289-2231";"Ecológica";"-30.040720187369";"-51.218628636723"
"Cidade Baixa";"EMEI dos Municipários Tio Barnabé";"Rua Otto Ernest Meyer, 55  ";"2ª 6ª - 8:00-18:00h";"3227-4591";"Faros Coleto";"-30.044931855773";"-51.216611297956"
"Cidade Baixa";"SENAC Informática";"Av. Venâncio Aires nº 93";"2ª 6ª - 8h às 21h";"3029-3633";"Ecológica";"-30.042731909125";"-51.218823463405"
"Cidade Baixa";"SESC Mulher";"Av. João Pessoa, 835  ";"2ª 6ª - 8:00-22:00h";32260631;"Ecológica";"-30.039105045091";"-51.218088539609"
"Cidade Baixa";"Capatazia da República - Sc Centro";"Rua da República, 711  ";"2ª 6ª: 8:00-18:00 sab: 8:00-12:00";"3212-8071";"Ecológica";"-30.040590718167";"-51.226385607684"
"Costa e Silva";"Capatazia Porto Seco";"Av. Plínio Kroeff, 752";"2ª 6ª: 7:30-12:00 13:30 - 17:00 sab:7:30- 12:00";"3347-1964";"Faros Coleto";"-30.001002671101";"-51.115572373006"
"Cristal";"SOCIEDADE EDUCACIONAL LEONARDO DA VINCI - Leo Beta";"Av. Icaraí, 1879  ";"2ª 6ª - 8:00-18:00";"3249-8840";"Faros Coleto";"-30.09503964312";"-51.245165333407"
"Cristal";"Destino Certo Zona Sul";"Av. Diario de Noticias, 1111";"2ª 6ª - 7:00- 21:00";"9638-7374";"Faros Coleto";"-30.0894804467";"-51.248603384996"
"Cristal";"EMEF Aramy Silva";"Av. Chico Pedro, 390  ";"2ª 6ª : 7:30-17:50h";"3289-5947/5946";"Ecológica";"-30.097916293923";"-51.241528027912"
"Cristal";"Clube de Mães do Cristal";"Rua Curupaiti, 915  ";"2ª a 6ª - à tarde";"9974-6005";"Ecológica";"-30.087196170706";"-51.239595707798"
"Cristo Redentor";"Colégio Adventista Marechal Rondon";"Rua Mali, 255";"2ª6ª: 7:15- 12:00 sab: 13:00- 15:00/ 17:30";"3349-6600 / 3340-3375";"Ecológica";"-30.01284679049";"-51.148720381433"
"Floresta";"Capatazia Cancio Gomes - Sc Norte";"Travessa Carmem, 111  ";"2º-6º: 8:00-18:00 sab: 8:00-12:00";"3395-1327";"Ecológica";"-30.019471155802";"-51.204623510302"
"Glória";"Capatazia Glória";"Rua Carvalho de Freitas, 1.012";"2ªf a 6ª f - 7:30-17h Sáb. - 7:30 - 11:30h";"3322-0340";"Faros Coleto";"-30.079961273259";"-51.201857431597"
"Hípica";"EMEF Prof. Anísio Teixeira";"Rua Francisco Mattos Terres, 40  ";"2ª 6ª - 7:45-12:00/ 13:25-17:40h";"3264-1540 / 3289-9598";"Faros Coleto";"-30.159724521305";"-51.200843134415"
"Humaitá";"Capatazia Humaitá - Sc Norte";"Rua José Aloisio Filho, 780  ";"2º-6º: 8:00-18:00 sab: 8:00-12:00";"3325-3160";"Ecológica";"-29.981904385859";"-51.18551646629"
"IAPI";"Capatazia IAPI - Sc Norte";"Av Assis Brasil, 1715  ";"2º-6º: 8:00-18:00 sab: 8:00-12:00";"3342-6121";"Ecológica";"-30.010934442025";"-51.170292632535"
"Ilha da Pintada - Arquipélago";"EMEI - Ilha da Pintada";"Rua dos Garruchos s/nº";"2ªf a 6ªf: de 8h a 18h";"3211-7542";"Ecológica";"-30.027701864411";"-51.228731833441"
"Ipanema";"Capatazia Ipanema";"Av. Guaíba, 2027  ";"2ª-6ª: 8:00-18:00 sáb: 8:00-12:00";"3248-1725";"Faros Coleto";"-30.097655148227";"-51.256874651885"
"Ipanema";"Fundação de Proteção Especial";"Rua Déa Coufal, 878";;"3248-2490";"Faros Coleto";"-30.129157881103";"-51.228139780317"
"Ipanema";"Clube do Professor Gaúcho";"Av. Guaíba, 12060  ";"2ª 6ª:  9h às 20h";"3248-5710";"Ecológica";"-30.14510254411";"-51.225364619803"
"Ipanema";"EEEF Monte Líbano";"rua Lemuria nº 10";;32469874;"Faros Coleto";"-30.130090571499";"-51.226796337661"
"Ipanema";"Escola de Educação Infantil Amoreco";"Rua Engenheiro Tito Marques Fernandes nº 80";"2ª a 6ª: 7h15 às 19h";"3246-9212";"Ecológica";"-30.1429145535";"-51.22547611128"
"Jardim Botânico";"Anchieta Coml de Combustíveis Ltda";"Av. Salvador França, 981  ";"todos os dias - das 8:00 às 22:00 h";"3319-3702";"Ecológica";"-30.055328025622";"-51.182612675556"
"Jardim Itú Sabará";"EMEI Vale Verde";"Beco Franklin, 270  ";"2ª6ª - 8:00-17:00 h";"3386-2044";"Ecológica";"-30.041217911354";"-51.142870225895"
